record_id,timestamp,zone_id,zone_name,zone_lat,zone_lon,demand_class,is_peak_hour,hour_of_day,zone_capacity_mw,current_load_mw,load_pct,status,charger_type,charger_power_kw,masked_vehicle_id,soc_initial_pct,soc_target_pct,recommended_soc_cap_pct,session_duration_min,peak_rate_inr_kwh,offpeak_rate_inr_kwh,tier_triggered,optimization_action,infra_expansion_flag,suggested_nodal_lat,suggested_nodal_lon,ev_load_contribution_kw,feeder_id,anomaly_flag
REC-00001,2026-04-07 19:28:00,Z001,HSR Layout,12.9116,77.6389,high,1,19,47.75,47.75,100.0,RED,AC_22kW,22,EV-XXXX-2685,50,77,77,2862.2,10.7,6.63,4,Infra_Trigger,1,12.9205,77.6564,13.21,FDR-Z001-01,0
REC-00002,2026-04-26 21:43:00,Z002,Koramangala,12.9352,77.6245,high,1,21,45.35,45.35,100.0,RED,AC_7kW,7,EV-XXXX-6393,17,74,74,17959.1,13.82,8.57,4,Infra_Trigger,1,12.9538,77.6368,5.05,FDR-Z002-01,0
REC-00003,2026-04-28 14:59:00,Z003,Whitefield,12.9698,77.75,high,0,14,46.83,37.786,80.69,YELLOW,DC_50kW,50,EV-XXXX-4843,16,99,80,3478.2,11.15,6.91,2,Time_Shift_Incentive,0,,,49.39,FDR-Z003-02,0
REC-00004,2026-04-10 03:13:00,Z004,Electronic City,12.8399,77.677,high,0,3,55.91,50.309,89.98,ORANGE,DC_50kW,50,EV-XXXX-5859,32,84,80,2583.6,12.62,7.82,3,Spatial_Redirect,0,,,35.52,FDR-Z004-01,0
REC-00005,2026-04-01 06:08:00,Z005,Indiranagar,12.9784,77.6408,high,0,6,56.58,49.444,87.39,ORANGE,DC_50kW,50,EV-XXXX-7184,47,96,80,1502.6,13.7,8.49,3,Spatial_Redirect,0,,,47.0,FDR-Z005-02,0
REC-00006,2026-04-23 22:23:00,Z006,Marathahalli,12.9591,77.6974,medium,0,22,38.87,27.572,70.93,YELLOW,DC_150kW,150,EV-XXXX-1502,17,70,80,830.1,13.2,8.18,2,Time_Shift_Incentive,0,,,119.63,FDR-Z006-01,0
REC-00007,2026-04-26 09:59:00,Z007,BTM Layout,12.9166,77.6101,medium,1,9,30.47,28.14,92.35,ORANGE,DC_150kW,150,EV-XXXX-4242,37,76,80,508.8,11.21,6.95,3,Spatial_Redirect,0,,,146.57,FDR-Z007-03,0
REC-00008,2026-04-22 01:41:00,Z008,JP Nagar,12.9077,77.586,medium,0,1,39.5,27.256,69.0,GREEN,DC_50kW,50,EV-XXXX-6592,25,95,60,2231.4,11.61,7.2,1,SoC_Cap_60,0,,,32.2,FDR-Z008-01,0
REC-00009,2026-04-25 19:12:00,Z009,Bannerghatta,12.8635,77.5978,medium,1,19,30.1,26.884,89.31,ORANGE,AC_7kW,7,EV-XXXX-2495,38,84,80,10856.3,12.96,8.04,3,Spatial_Redirect,0,,,5.22,FDR-Z009-01,0
REC-00010,2026-04-12 06:01:00,Z010,Sarjapur,12.8711,77.7055,medium,0,6,32.22,25.441,78.96,YELLOW,AC_22kW,22,EV-XXXX-7528,37,74,80,3153.1,11.34,7.03,2,Time_Shift_Incentive,0,,,14.48,FDR-Z010-02,0
